time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.637607	0.736624	4.65015	1.12928	0.11072	radar	16.5839	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.03643	0.612836	4.76244	0.0202149	0.00869866	lidar	5.14146	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.24009	0.512219	4.88481	0.0164678	0.0446179	radar	2.41571	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.54037	0.562866	4.91846	0.0692922	0.0723351	lidar	1.20746	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.78521	0.562552	5.29587	0.0875077	0.201612	radar	1.89636	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.0864	0.604068	5.3303	0.103365	0.220937	lidar	0.776625	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.3081	0.643854	5.22481	0.140658	0.240964	radar	1.73921	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.58542	0.676419	5.2504	0.137163	0.195224	lidar	0.290418	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.859	0.664424	5.28446	0.0759289	-0.0439866	radar	0.373161	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.09859	0.671383	5.26155	0.0627657	-0.088781	lidar	0.483376	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.39115	0.562323	5.32155	-0.109291	-0.620225	radar	2.40904	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69829	0.452543	5.3904	-0.242536	-0.91583	lidar	3.45467	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97833	0.54202	5.40791	-0.0889792	-0.339901	radar	3.71396	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.25618	0.535893	5.41298	-0.0859974	-0.28839	lidar	0.269855	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.51708	0.571355	5.35878	-0.0459709	-0.165647	radar	1.25874	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71008	0.681272	5.22376	0.0595691	0.0755698	lidar	10.1889	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.96333	0.678268	5.1683	0.0463688	0.0424019	radar	1.95201	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.26811	0.671309	5.2327	0.0308359	0.0102498	lidar	3.37248	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.52729	0.677889	5.263	0.0315411	0.0106319	radar	1.52309	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.82498	0.690555	5.30818	0.0337609	0.0141411	lidar	2.05558	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.06971	0.614335	5.23864	-0.0256466	-0.0854511	radar	3.99293	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.32792	0.728606	5.22577	0.0510902	0.0418489	lidar	3.3533	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.57893	0.76131	5.18706	0.0653091	0.060043	radar	0.542674	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.82978	0.756818	5.17829	0.0552742	0.0411714	lidar	0.238834	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.07405	0.740242	5.09475	0.0385606	0.0144794	radar	3.30552	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.29651	0.823796	5.05395	0.0824941	0.0730698	lidar	2.57698	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58811	0.835605	5.15729	0.0796197	0.0643118	radar	4.45601	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84101	0.811163	5.15094	0.0585547	0.0331614	lidar	0.62407	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09129	0.829439	5.09266	0.0614978	0.0341883	radar	2.53608	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.33075	0.84517	5.07415	0.0636899	0.0348736	lidar	0.358053	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59849	0.9342	5.16235	0.102139	0.0803567	radar	6.59958	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.83734	0.991262	5.14159	0.121789	0.0993106	lidar	0.663516	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12617	1.03007	5.19726	0.128629	0.101196	radar	6.81287	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.36491	1.06152	5.17289	0.133347	0.100969	lidar	0.627104	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.64349	1.1338	5.22362	0.154806	0.120093	radar	4.47092	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.91738	1.25894	5.2566	0.199135	0.165009	lidar	3.11236	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1663	1.34786	5.1978	0.225793	0.188203	radar	4.84833	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3927	1.42762	5.16785	0.246194	0.201475	lidar	1.15463	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6252	1.5113	5.07948	0.268798	0.219036	radar	4.17558	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8521	1.54315	5.04754	0.264511	0.201509	lidar	1.25381	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1173	1.59465	5.08782	0.265121	0.189414	radar	1.89833	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.3969	1.64122	5.12581	0.26212	0.174264	lidar	1.95594	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6285	1.69854	5.07746	0.268571	0.172705	radar	0.909869	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8592	1.76295	5.059	0.276708	0.172293	lidar	0.351107	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1146	1.85187	5.11494	0.291282	0.177878	radar	1.37346	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3578	1.88203	5.09719	0.280613	0.154888	lidar	0.681816	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6133	1.94311	5.14101	0.281327	0.145109	radar	0.934052	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.8143	2.07515	5.1069	0.319877	0.182312	lidar	3.3447	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0805	2.1812	5.19786	0.33488	0.186318	radar	3.46061	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.2843	2.32097	5.16919	0.372305	0.219695	lidar	2.61374	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4655	2.46286	5.05478	0.414817	0.261917	radar	11.0556	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.715	2.57973	5.08503	0.431391	0.265721	lidar	0.871073	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.935	2.69172	5.06248	0.448862	0.27187	radar	0.235125	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1637	2.84568	5.08777	0.480538	0.292762	lidar	0.696759	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4132	2.9548	5.1544	0.483265	0.274168	radar	1.44306	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6198	3.02982	5.10214	0.480639	0.255731	lidar	2.17417	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.851	3.18133	5.16119	0.503339	0.263978	radar	3.84063	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.0587	3.3735	5.18394	0.54702	0.299209	lidar	1.25338	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.2702	3.53813	5.16792	0.577893	0.320841	radar	2.6104	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4838	3.72632	5.19863	0.612657	0.34218	lidar	0.74774	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6954	3.86037	5.18394	0.623089	0.334941	radar	0.945416	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9168	4.00544	5.19172	0.634313	0.328452	lidar	0.199609	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.1126	4.16811	5.14358	0.661182	0.346835	radar	1.8151	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.3101	4.36347	5.16942	0.693076	0.363261	lidar	0.441518	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5202	4.52721	5.18629	0.706428	0.356556	radar	0.62697	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6984	4.69633	5.16773	0.727762	0.36084	lidar	0.492906	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.852	4.88828	5.07283	0.772438	0.405382	radar	4.65351	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0167	5.11319	5.10192	0.812883	0.428096	lidar	0.660037	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.1863	5.2839	5.06729	0.832161	0.429339	radar	1.73147	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3458	5.46572	5.05169	0.853362	0.429278	lidar	0.213741	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5016	5.63588	5.00111	0.873408	0.432903	radar	3.24831	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.6944	5.76106	4.95914	0.863211	0.397393	lidar	1.74472	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8377	5.95778	4.92029	0.895698	0.419265	radar	1.13165	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0119	6.14784	4.93595	0.909218	0.410617	lidar	0.715478	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1612	6.35522	4.94796	0.933525	0.414937	radar	0.691738	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.2832	6.59167	4.97123	0.972207	0.434908	lidar	0.594189	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4148	6.80523	4.96524	1.00005	0.444488	radar	0.268737	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5626	6.94362	4.89155	0.995982	0.415894	lidar	2.08573	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7114	7.15009	4.92493	1.00651	0.398429	radar	0.636292	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9078	7.28968	4.88703	0.985663	0.353256	lidar	4.0168	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	18.9961	7.49361	4.81554	1.02565	0.38923	radar	4.07396	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.0878	7.75436	4.86185	1.06997	0.416563	lidar	1.20111	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2084	7.96179	4.86274	1.08544	0.408839	radar	0.283343	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.288	8.1773	4.84232	1.11604	0.420291	lidar	1.40599	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.3869	8.38825	4.84443	1.13263	0.410262	radar	2.27765	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4818	8.53727	4.74777	1.13715	0.393617	lidar	3.91527	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5728	8.74634	4.72399	1.16021	0.401188	radar	0.572911	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7339	8.9207	4.70342	1.14613	0.363935	lidar	4.16842	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8074	9.1423	4.67941	1.17922	0.387863	radar	1.01355	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9376	9.36712	4.71149	1.18517	0.372891	lidar	2.98097	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9834	9.58877	4.66057	1.22917	0.41387	radar	2.73899	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0709	9.82786	4.69192	1.24966	0.413398	lidar	0.736607	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.1315	10.0761	4.73298	1.27605	0.414852	radar	7.13403	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1798	10.3475	4.78801	1.31229	0.431166	lidar	0.91252	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.1964	10.5826	4.75288	1.35926	0.470566	radar	3.03485	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2549	10.8553	4.81339	1.38567	0.472979	lidar	2.01099	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2839	11.111	4.84193	1.41513	0.476269	radar	4.88809	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3182	11.35	4.84133	1.43898	0.47632	lidar	0.000308336	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2651	11.5977	4.79267	1.51445	0.557032	radar	11.0021	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3364	11.8389	4.80564	1.51926	0.532335	lidar	4.66711	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.3617	12.0731	4.82375	1.52576	0.493586	radar	3.5714	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3485	12.3598	4.89004	1.56326	0.505905	lidar	1.15383	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.2991	12.5979	4.85288	1.62101	0.560087	radar	3.3979	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.324	12.838	4.85008	1.63344	0.543813	lidar	1.78678	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3112	13.0691	4.83018	1.66031	0.54733	radar	2.11182	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2763	13.2832	4.79183	1.69	0.550479	lidar	1.04867	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
