time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443100000	1.06889	0.502184	1.17172	0.754728	0.0778379	lidar	4.00771	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443200000	1.42855	0.614407	1.95923	0.263541	-0.00765295	lidar	5.26276	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443300000	1.93878	0.638821	3.12444	-0.312628	-0.135144	lidar	7.15656	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443400000	2.4321	0.659596	4.00803	-0.00618891	0.0301885	lidar	5.0049	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443500000	2.90699	0.642469	4.38754	-0.0198981	0.0218033	lidar	1.04193	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443600000	3.60934	0.400211	5.25667	-0.297809	-0.31385	lidar	8.42785	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443700000	4.20985	0.484361	5.42683	-0.0522794	0.257057	lidar	2.35771	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443800000	4.58013	0.753039	4.96558	0.249701	0.868159	lidar	6.7688	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443900000	5.24478	0.720488	5.36934	0.140956	0.403674	lidar	6.55739	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010444000000	5.86769	0.73233	5.55536	0.101624	0.229473	lidar	1.86527	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444100000	6.38135	0.895372	5.52541	0.21287	0.400619	lidar	0.486352	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444200000	6.88006	0.840765	5.39939	0.117525	0.161773	lidar	2.30395	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444300000	7.31739	0.944893	5.24146	0.167325	0.215886	lidar	2.22044	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444400000	7.83117	0.866456	5.18725	0.0767592	0.0464603	lidar	2.1123	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444500000	8.31574	0.874895	5.12506	0.0632492	0.0202973	lidar	0.397528	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444600000	8.79846	0.977584	5.09248	0.107708	0.0771475	lidar	0.627833	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444700000	9.28796	1.04174	5.06752	0.120468	0.0835843	lidar	0.072081	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444800000	9.86515	1.25529	5.23583	0.206289	0.181424	lidar	5.00402	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444900000	10.3347	1.4096	5.17458	0.249675	0.21314	lidar	0.681075	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010445000000	10.8037	1.50625	5.10948	0.255387	0.194369	lidar	0.542472	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445100000	11.3865	1.62271	5.26494	0.256843	0.170803	lidar	2.60478	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445200000	11.8581	1.75726	5.20099	0.276332	0.174257	lidar	0.411504	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445300000	12.3486	1.85544	5.16657	0.271642	0.146712	lidar	0.421108	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445400000	12.7611	2.07514	5.05658	0.334043	0.207443	lidar	2.67694	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445500000	13.1852	2.31333	5.00295	0.394297	0.257829	lidar	1.31849	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445600000	13.7009	2.54988	5.12454	0.429519	0.268928	lidar	1.5344	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445700000	14.1724	2.83475	5.18376	0.485719	0.305838	lidar	0.906124	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445800000	14.5797	3.02098	5.06101	0.496629	0.281887	lidar	1.75076	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445900000	15.0131	3.35938	5.12134	0.568246	0.336798	lidar	1.56759	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010446000000	15.459	3.70966	5.21214	0.627731	0.368817	lidar	1.24176	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446100000	15.9093	4.00994	5.25487	0.650052	0.349734	lidar	0.321827	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446200000	16.3192	4.37555	5.29373	0.702748	0.371966	lidar	0.346446	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446300000	16.6803	4.71092	5.22688	0.744767	0.378858	lidar	0.4647	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446400000	17.0289	5.12587	5.24911	0.81242	0.416695	lidar	0.618548	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446500000	17.353	5.48989	5.18225	0.854359	0.417819	lidar	0.448077	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446600000	17.7329	5.78862	5.11923	0.844361	0.352192	lidar	2.14366	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
