time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443050000	0.862916	0.534212	1	1	0.1	radar	0	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443150000	1.07163	0.457996	4.21182	-0.111573	-0.0595362	radar	16.5092	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443250000	1.56123	0.499583	4.51638	0.342189	0.0713009	radar	2.26245	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443350000	2.04376	0.586515	4.97931	0.116008	-0.122338	radar	1.84819	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443450000	2.63721	0.611734	5.18167	0.0318829	-0.128874	radar	2.15055	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443550000	3.2417	0.515708	5.31476	-0.133391	-0.507337	radar	2.88343	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443650000	3.84583	0.584651	5.3654	0.00368174	0.125541	radar	3.30721	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443750000	4.39901	0.629959	5.31906	0.0515986	0.219363	radar	0.912479	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443850000	4.93706	0.649648	5.21664	0.0570761	0.185232	radar	2.38797	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443950000	5.44029	0.671432	5.2772	0.0684263	0.168696	radar	1.11949	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444050000	5.94701	0.541314	5.19272	-0.0391425	-0.0527044	radar	2.78838	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444150000	6.46652	0.654686	5.15084	0.0426796	0.0853839	radar	1.7583	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444250000	6.98497	0.649147	5.04272	0.0322463	0.0592414	radar	2.97813	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444350000	7.57285	0.713949	5.19795	0.06294	0.0956287	radar	5.01557	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444450000	8.0927	0.792034	5.09731	0.0947695	0.124575	radar	2.80049	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444550000	8.60408	1.04499	5.22331	0.203577	0.237303	radar	5.50456	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444650000	9.19278	1.13285	5.28549	0.213155	0.22139	radar	5.84581	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444750000	9.74327	1.32204	5.33683	0.264011	0.252186	radar	2.20238	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444850000	10.2458	1.55095	5.24355	0.329055	0.300475	radar	3.08961	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444950000	10.7166	1.73897	5.10738	0.373446	0.325435	radar	2.91603	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445050000	11.2447	1.77893	5.13689	0.341068	0.255808	radar	2.37728	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445150000	11.704	1.852	5.05574	0.331771	0.223446	radar	1.93206	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445250000	12.1914	2.05357	5.14916	0.360494	0.22473	radar	0.995774	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445350000	12.6922	2.11627	5.18553	0.332587	0.169474	radar	2.08586	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445450000	13.1946	2.38191	5.30935	0.376162	0.190009	radar	1.73506	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445550000	13.5245	2.78162	5.13709	0.488509	0.29407	radar	12.0408	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445650000	13.9624	2.96496	5.0895	0.499737	0.279433	radar	0.707995	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445750000	14.4616	3.10366	5.15902	0.475251	0.218374	radar	1.71852	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445850000	14.8857	3.49555	5.25707	0.543603	0.255044	radar	2.08064	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445950000	15.2967	3.8765	5.23109	0.613392	0.304991	radar	1.21384	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446050000	15.7449	4.00748	5.14574	0.58993	0.259943	radar	2.17882	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446150000	16.1556	4.29129	5.05862	0.626399	0.283218	radar	1.55035	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446250000	16.5881	4.55665	5.06581	0.638765	0.267338	radar	0.344068	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446350000	16.9095	4.95693	4.93278	0.726344	0.349391	radar	4.57688	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446450000	17.2889	5.16341	4.83886	0.731319	0.333209	radar	1.44079	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446550000	17.6501	5.3525	4.71261	0.736684	0.32316	radar	2.25288	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446650000	17.941	5.7735	4.6927	0.814197	0.374338	radar	1.23662	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446750000	18.2208	6.25242	4.77342	0.886973	0.398122	radar	1.21074	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446850000	18.4772	6.71517	4.80711	0.95716	0.425492	radar	0.420298	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446950000	18.776	7.10376	4.84834	0.976686	0.389748	radar	0.662998	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447050000	18.9495	7.54236	4.79341	1.05642	0.442534	radar	3.18431	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447150000	19.2174	7.89208	4.77187	1.06997	0.410284	radar	0.378149	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447250000	19.4129	8.29573	4.76999	1.10249	0.392081	radar	2.25858	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447350000	19.6199	8.67274	4.71064	1.14202	0.406078	radar	0.564618	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447450000	19.7491	9.18614	4.74124	1.21659	0.441864	radar	0.600771	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447550000	19.8327	9.68813	4.74664	1.29855	0.488209	radar	0.968991	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447650000	19.8652	10.3604	4.9276	1.3665	0.461573	radar	5.91829	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447750000	19.8968	10.8648	4.92641	1.43901	0.495637	radar	0.925551	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447850000	19.8944	11.4941	5.04646	1.49469	0.468958	radar	2.81141	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447950000	19.7575	12.0944	5.09612	1.61848	0.566803	radar	5.04701	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448050000	19.8624	12.4519	4.97313	1.59163	0.453478	radar	4.63566	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448150000	19.83	12.8865	4.90255	1.66199	0.513047	radar	2.06214	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448250000	19.9397	13.1926	4.74639	1.67477	0.499327	radar	5.26601	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448350000	19.8866	13.6458	4.73537	1.71738	0.486785	radar	0.191371	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448450000	19.8684	14.0199	4.64781	1.76362	0.507848	radar	1.40337	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448550000	19.7553	14.4677	4.64465	1.81748	0.511077	radar	0.142803	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448650000	19.7237	14.7873	4.52693	1.84395	0.489686	radar	1.91076	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448750000	19.5562	15.2089	4.5085	1.95818	0.626164	radar	10.281	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448850000	19.4683	15.5346	4.41643	1.99721	0.604501	radar	1.10098	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448950000	19.2879	15.9408	4.41511	2.03506	0.559225	radar	0.890916	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449050000	19.1106	16.3134	4.39632	2.09157	0.570484	radar	0.682696	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
